day,nav_usd,wbtc_usd,nav_wbtc,roi_in_wbtc,roi_in_usd,alpha_vs_wbtc
2025-08-20,0.96932549,114291.37,0.00000848,0.005754,-0.031421,0.005754
2025-08-21,0.95412075,112491.84,0.00000848,0.005815,-0.046614,0.005815
2025-08-22,0.99107605,116909.79,0.00000848,0.005291,-0.009688,0.005291
2025-08-23,0.97684872,115391.76,0.00000847,0.003895,-0.023904,0.003895
2025-08-24,0.96225955,113600.16,0.00000847,0.004498,-0.038482,0.004498
2025-08-25,0.93506171,110260.30,0.00000848,0.005673,-0.065659,0.005673
2025-08-26,0.95063541,111917.74,0.00000849,0.007281,-0.050097,0.007281
2025-08-27,0.94554807,111388.26,0.00000849,0.006653,-0.055181,0.006653
2025-08-28,0.95460703,112582.21,0.00000848,0.005520,-0.046129,0.005520
2025-08-29,0.92198001,108609.94,0.00000849,0.006671,-0.078730,0.006671
2025-08-30,0.92422433,108942.36,0.00000848,0.006043,-0.076488,0.006043
2025-08-31,0.92053598,108381.99,0.00000849,0.007209,-0.080173,0.007209
2025-09-01,0.92633384,109365.54,0.00000847,0.004437,-0.074380,0.004437
2025-09-02,0.94326937,111245.94,0.00000848,0.005512,-0.057457,0.005512
2025-09-03,0.94877386,111751.51,0.00000849,0.006804,-0.051957,0.006804
2025-09-04,0.93888786,110710.18,0.00000848,0.005685,-0.061836,0.005685
2025-09-05,0.93926785,110676.99,0.00000849,0.006394,-0.061456,0.006394
2025-09-06,0.93454906,110230.16,0.00000848,0.005397,-0.066171,0.005397
2025-09-07,0.94242497,111143.24,0.00000848,0.005540,-0.058301,0.005540
2025-09-08,0.95139793,112089.06,0.00000849,0.006549,-0.049335,0.006549
2025-09-09,0.94557509,111549.14,0.00000848,0.005230,-0.055154,0.005230
2025-09-10,0.96653252,113988.20,0.00000848,0.005524,-0.034212,0.005524
2025-09-11,0.97780443,115537.84,0.00000846,0.003607,-0.022949,0.003607
2025-09-12,0.98516987,116116.26,0.00000848,0.006129,-0.015589,0.006129
2025-09-13,0.98248580,115937.13,0.00000847,0.004939,-0.018271,0.004939
2025-09-14,0.97900656,115351.87,0.00000849,0.006461,-0.021748,0.006461
2025-09-15,0.97785759,115401.06,0.00000847,0.004851,-0.022896,0.004851
2025-09-16,0.98856011,116838.31,0.00000846,0.003353,-0.012202,0.003353
2025-09-17,0.98897955,116488.17,0.00000849,0.006795,-0.011783,0.006795
2025-09-18,0.99293446,117126.46,0.00000848,0.005313,-0.007831,0.005313
2025-09-19,0.98107555,115817.67,0.00000847,0.004531,-0.019680,0.004531
2025-09-20,0.98313233,115756.07,0.00000849,0.007173,-0.017625,0.007173
2025-09-21,0.97798141,115242.18,0.00000849,0.006364,-0.022772,0.006364
2025-09-22,0.95703327,112747.85,0.00000849,0.006594,-0.043704,0.006594
2025-09-23,0.95162487,112021.25,0.00000850,0.007398,-0.049108,0.007398
2025-09-24,0.96261396,113349.35,0.00000849,0.007091,-0.038128,0.007091
2025-09-25,0.92616510,110951.97,0.00000835,-0.010105,-0.074549,-0.010105
2025-09-26,0.93068244,109731.31,0.00000848,0.005789,-0.070035,0.005789
2025-09-27,0.93015919,109663.84,0.00000848,0.005842,-0.070558,0.005842
2025-09-28,0.95058323,112211.10,0.00000847,0.004593,-0.050149,0.004593
2025-09-29,0.96822259,114431.43,0.00000846,0.003381,-0.032523,0.003381
2025-09-30,0.96643806,113243.02,0.00000853,0.012042,-0.034307,0.012042
2025-10-01,1.00298915,118100.07,0.00000849,0.007121,0.002216,0.007121
2025-10-02,1.00446542,118695.10,0.00000846,0.003548,0.003691,0.003548
2025-10-03,1.02880557,122386.06,0.00000841,-0.003133,0.028013,-0.003133
2025-10-04,1.02726099,122345.08,0.00000840,-0.004296,0.026469,-0.004296
2025-10-05,1.03379368,123479.46,0.00000837,-0.007170,0.032997,-0.007170
2025-10-06,1.04567862,124855.67,0.00000838,-0.006825,0.044873,-0.006825
2025-10-07,1.02567317,121877.89,0.00000842,-0.002025,0.024883,-0.002025
2025-10-08,1.03521312,123260.19,0.00000840,-0.004038,0.034415,-0.004038
2025-10-09,1.02417791,121422.92,0.00000843,0.000254,0.023389,0.000254
2025-10-10,0.97134798,113223.57,0.00000858,0.017358,-0.029400,0.017358
2025-10-11,0.95094637,111028.35,0.00000856,0.015682,-0.049786,0.015682
2025-10-12,0.98213369,114942.50,0.00000854,0.013271,-0.018623,0.013271
2025-10-13,0.98712714,115426.20,0.00000855,0.014155,-0.013633,0.014155
2025-10-14,0.96902685,113427.11,0.00000854,0.013106,-0.031720,0.013106
2025-10-15,0.94705380,110895.84,0.00000854,0.012733,-0.053676,0.012733
2025-10-16,0.92132657,107993.41,0.00000853,0.011701,-0.079383,0.011701
2025-10-17,0.91158793,106881.43,0.00000853,0.011421,-0.089114,0.011421
2025-10-18,0.91301995,107168.09,0.00000852,0.010300,-0.087684,0.010300
2025-10-19,0.93041864,108875.65,0.00000855,0.013406,-0.070298,0.013406
2025-10-20,0.94576984,110624.76,0.00000855,0.013839,-0.054959,0.013839
2025-10-21,0.93261115,109392.53,0.00000853,0.010994,-0.068107,0.010994
2025-10-22,0.91624566,107474.35,0.00000853,0.010981,-0.084460,0.010981
2025-10-23,0.93930602,110058.87,0.00000853,0.012087,-0.061418,0.012087
2025-10-24,0.94815561,110940.35,0.00000855,0.013505,-0.052575,0.013505
2025-10-25,0.95451971,111676.09,0.00000855,0.013586,-0.046216,0.013586
2025-10-26,0.98139503,114432.00,0.00000858,0.017026,-0.019361,0.017026
2025-10-27,0.97377050,113876.12,0.00000855,0.014051,-0.026980,0.014051
2025-10-28,0.96563569,113134.58,0.00000854,0.012171,-0.035108,0.012171
2025-10-29,0.94615087,110689.13,0.00000855,0.013657,-0.054578,0.013657
2025-10-30,0.91844718,107605.72,0.00000854,0.012173,-0.082261,0.012173
2025-10-31,0.93591165,109511.61,0.00000855,0.013469,-0.064810,0.013469
2025-11-01,0.94101520,110002.67,0.00000855,0.014447,-0.059710,0.014447
2025-11-02,0.94250533,110303.28,0.00000854,0.013284,-0.058221,0.013284
2025-11-03,0.90612817,106287.84,0.00000853,0.010978,-0.094570,0.010978
2025-11-04,0.85671883,101113.69,0.00000847,0.004764,-0.143941,0.004764
2025-11-05,0.88238332,103861.67,0.00000850,0.007483,-0.118297,0.007483
2025-11-06,0.85619923,101237.98,0.00000846,0.002922,-0.144461,0.002922
2025-11-07,0.88067683,103430.50,0.00000851,0.009726,-0.120002,0.009726
2025-11-08,0.86870237,102393.70,0.00000848,0.006082,-0.131967,0.006082
2025-11-09,0.89301164,104681.40,0.00000853,0.011634,-0.107676,0.011634
2025-11-10,0.90543925,106169.00,0.00000853,0.011340,-0.095258,0.011340
2025-11-11,0.87553041,103044.86,0.00000850,0.007583,-0.125144,0.007583
2025-11-12,0.86441648,101880.45,0.00000848,0.006162,-0.136250,0.006162
2025-11-13,0.84658246,100194.94,0.00000845,0.001980,-0.154070,0.001980
2025-11-14,0.78868693,94630.96,0.00000833,-0.011658,-0.211921,-0.011658
2025-11-15,0.79802216,95576.60,0.00000835,-0.009854,-0.202593,-0.009854
2025-11-16,0.78407901,93917.21,0.00000835,-0.009965,-0.216525,-0.009965
2025-11-17,0.76237675,91740.38,0.00000831,-0.014527,-0.238211,-0.014527
2025-11-18,0.77055529,92831.40,0.00000830,-0.015661,-0.230038,-0.015661
2025-11-19,0.75636549,91344.00,0.00000828,-0.018054,-0.244217,-0.018054
2025-11-20,0.72479971,87496.60,0.00000828,-0.017658,-0.275759,-0.017658
2025-11-21,0.69922112,84575.71,0.00000827,-0.019597,-0.301318,-0.019597
2025-11-22,0.70205626,84762.71,0.00000828,-0.017793,-0.298485,-0.017793
