day,wbtc_usd
2019-11-16,8672.15
2019-11-17,8950.00
2019-11-18,8341.16
2019-11-19,8217.33
2019-11-20,8950.00
2019-11-21,8950.00
2019-11-22,8950.00
2019-11-23,8950.00
2019-11-24,8950.00
2019-11-25,6799.23
2019-11-26,8950.00
2019-11-27,8950.00
2019-11-28,7389.98
2019-11-29,7669.53
2019-11-30,7168.62
2019-12-01,6855.80
2019-12-02,6855.80
2019-12-03,6855.80
2019-12-04,5823.37
2019-12-05,6855.80
2019-12-06,5956.44
2019-12-07,7463.40
2019-12-08,7326.41
2019-12-09,6831.50
2019-12-10,6831.50
2019-12-11,6831.50
2019-12-12,7252.50
2019-12-13,7248.50
2019-12-14,6831.50
2019-12-15,6831.50
2019-12-16,6899.36
2019-12-17,6471.83
2019-12-18,6831.50
2019-12-19,7057.05
2019-12-20,6831.50
2019-12-21,7115.62
2019-12-22,6831.50
2019-12-23,6198.76
2019-12-24,7673.52
2019-12-25,6831.50
2019-12-26,6793.19
2019-12-27,7956.00
2019-12-28,6619.48
2019-12-29,7956.00
2019-12-30,7956.00
2019-12-31,7956.00
2020-01-01,7956.00
2020-01-02,6331.02
2020-01-03,6690.80
2020-01-04,6617.10
2020-01-05,6690.80
2020-01-06,8193.66
2020-01-07,6690.80
2020-01-08,6690.80
2020-01-09,6690.80
2020-01-10,6690.80
2020-01-11,6690.80
2020-01-12,6690.80
2020-01-13,7321.52
2020-01-14,7812.00
2020-01-15,7812.00
2020-01-16,6557.04
2020-01-17,8009.60
2020-01-18,8009.60
2020-01-19,8541.00
2020-01-20,8541.00
2020-01-21,8800.00
2020-01-22,8800.00
2020-01-23,8550.00
2020-01-24,8550.00
2020-01-25,7538.30
2020-01-26,7501.60
2020-01-27,7501.60
2020-01-28,9278.90
2020-01-29,8473.20
2020-01-30,8473.20
2020-01-31,10143.86
2020-02-01,8473.20
2020-02-02,8473.20
2020-02-03,8473.20
2020-02-04,8473.20
2020-02-05,8473.20
2020-02-06,8473.20
2020-02-07,8473.20
2020-02-08,8722.66
2020-02-09,9107.20
2020-02-10,9107.20
2020-02-11,9107.20
2020-02-12,10722.38
2020-02-13,10737.03
2020-02-14,9107.20
2020-02-15,10909.00
2020-02-16,10001.03
2020-02-17,9462.87
2020-02-18,10640.00
2020-02-19,10640.00
2020-02-20,10588.00
2020-02-21,10588.00
2020-02-22,8703.50
2020-02-23,8703.50
2020-02-24,8703.50
2020-02-25,8703.50
2020-02-26,8703.50
2020-02-27,8703.50
2020-02-28,8703.50
2020-02-29,8703.50
2020-03-01,8703.50
2020-03-02,8703.50
2020-03-03,8703.50
2020-03-04,8703.50
2020-03-05,8703.50
2020-03-06,8703.50
2020-03-07,8703.50
2020-03-08,8703.50
2020-03-09,7652.05
2020-03-10,8703.50
2020-03-11,8703.50
2020-03-12,6603.50
2020-03-13,5160.40
2020-03-14,4943.40
2020-03-15,6395.15
2020-03-16,4943.40
2020-03-17,4943.40
2020-03-18,4943.40
2020-03-19,4943.40
2020-03-20,4943.40
2020-03-21,4943.40
2020-03-22,4943.40
2020-03-23,4943.40
2020-03-24,4943.40
2020-03-25,4943.40
2020-03-26,4943.40
2020-03-27,4943.40
2020-03-28,4943.40
2020-03-29,4943.40
2020-03-30,4943.40
2020-03-31,4943.40
2020-04-01,6290.00
2020-04-02,6560.00
2020-04-03,6560.00
2020-04-04,6560.00
2020-04-05,7144.00
2020-04-06,7065.60
2020-04-07,6089.00
2020-04-08,7100.00
2020-04-09,7100.00
2020-04-10,7100.00
2020-04-11,6495.95
2020-04-12,6461.13
2020-04-13,7100.00
2020-04-14,7100.00
2020-04-15,5402.60
2020-04-16,5402.60
2020-04-17,5402.60
2020-04-18,7504.89
2020-04-19,5402.60
2020-04-20,6850.10
2020-04-21,6908.40
2020-04-22,6850.10
2020-04-23,7473.00
2020-04-24,8634.20
2020-04-25,7473.00
2020-04-26,7473.00
2020-04-27,7473.00
2020-04-28,7473.00
2020-04-29,9566.11
2020-04-30,7945.52
2020-05-01,8800.00
2020-05-02,8800.00
2020-05-03,8800.00
2020-05-04,8800.00
2020-05-05,8800.00
2020-05-06,8800.00
2020-05-07,9159.52
2020-05-08,10048.15
2020-05-09,8800.00
2020-05-10,8800.00
2020-05-11,7072.00
2020-05-12,8490.00
2020-05-13,9000.00
2020-05-14,9300.10
2020-05-15,9600.00
2020-05-16,9600.00
2020-05-17,9600.00
2020-05-18,9600.00
2020-05-19,9209.77
2020-05-20,9600.00
2020-05-21,9600.00
2020-05-22,9600.00
2020-05-23,9600.00
2020-05-24,9600.00
2020-05-25,9600.00
2020-05-26,9600.00
2020-05-27,8883.62
2020-05-28,9600.00
